"case_id","cohort","expected","first","extraction_ms","sift_assessment","ai_assessment","sift_error","ai_error","sift_decision_ms","ai_decision_ms","sift_e2e_ms","ai_e2e_ms"
"case-01","valid","matched","sift","0","matched","matched","","","347.704038","2895.4107059999997","347.704038","2895.4107059999997"
"case-02","valid","matched","all_ai","0","needs_review","matched","","","499.2362640000001","2953.8546730000003","499.2362640000001","2953.8546730000003"
"case-03","corroboration","needs_review","sift","0","needs_review","matched","","","215.07331599999998","2509.6801320000004","215.07331599999998","2509.6801320000004"
"case-04","corroboration","needs_review","all_ai","0","needs_review","matched","","","346.7709560000003","6022.216604000001","346.7709560000003","6022.216604000001"
"case-05","corroboration","needs_review","sift","0","needs_review","matched","","","355.70295700000133","3576.993451000002","355.70295700000133","3576.993451000002"
"case-06","corroboration","needs_review","all_ai","0","needs_review","matched","","","300.0885820000003","2992.405816999999","300.0885820000003","2992.405816999999"
"case-07","incomplete","needs_review","sift","0","needs_review","needs_review","","","267.91179199999897","3223.8136419999973","267.91179199999897","3223.8136419999973"
"case-08","incomplete","needs_review","all_ai","0","needs_review","needs_review","","","278.3970079999999","3809.3014650000005","278.3970079999999","3809.3014650000005"
"case-09","violation","flagged","sift","0","flagged","flagged","","","237.73954299999968","3594.021117000004","237.73954299999968","3594.021117000004"
"case-10","violation","flagged","all_ai","0","flagged","flagged","","","361.5354540000044","3263.557501000003","361.5354540000044","3263.557501000003"
"case-11","valid","matched","sift","0","matched","matched","","","340.1258860000016","5143.621877000005","340.1258860000016","5143.621877000005"
"case-12","duplicate","flagged","all_ai","0","flagged","flagged","","","408.738983999996","2515.8256089999995","408.738983999996","2515.8256089999995"
"case-13","valid","matched","sift","0","needs_review","needs_review","","","316.32071800000267","6026.748146999998","316.32071800000267","6026.748146999998"
"case-14","valid","matched","all_ai","0","matched","matched","","","461.62634100000287","2707.795478","461.62634100000287","2707.795478"
